movie,genre,synopsis,year,rate,duration,votes,popularity
Kate & Leopold,Comedy|Fantasy|Romance,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,2001,6.4,118,66660,2363.0
Chicken Run,Animation|Adventure|Comedy,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",2000,7.0,84,144475,2859.0
Fantastic Four,Action|Adventure|Family,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",2005,5.7,106,273203,1876.0
Frida,Biography|Drama|Romance,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",2002,7.4,123,63852,2508.0
The Lord of the Rings: The Fellowship of the Ring,Adventure|Drama|Fantasy,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.,2001,8.8,178,1286275,204.0
Mission: Impossible II,Action|Adventure|Thriller,"A secret agent is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera"".",2000,6.1,123,249988,2153.0
Resident Evil,Action|Horror|Sci-Fi,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",2002,6.7,100,204545,355.0
X-Men,Action|Adventure|Sci-Fi,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,2000,7.4,104,468351,655.0
The Emperor's New Groove,Animation|Adventure|Comedy,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",2000,7.3,78,133781,1332.0
Corpse Bride,Animation|Drama|Family,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",2005,7.4,77,197604,2022.0
Star Wars: Episode II - Attack of the Clones,Action|Adventure|Fantasy,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi.",2002,6.7,142,485730,544.0
Star Wars: Episode III - Revenge of the Sith,Action|Adventure|Fantasy,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",2005,7.6,140,543318,387.0
Shrek,Animation|Adventure|Comedy,"After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back.",2001,7.9,90,483447,1064.0
Planet of the Apes,Action|Adventure|Sci-Fi,"An Air Force astronaut crash lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",2001,5.7,119,181213,1144.0
Treasure Planet,Animation|Adventure|Family,"A Disney animated version of ""Treasure Island"". The only difference is that the film is set in outer space with alien worlds and other galactic wonders.",2002,7.1,95,74746,2568.0
Pitch Black,Horror|Sci-Fi,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",2000,7.1,109,197982,1353.0
Training Day,Crime|Drama|Thriller,"On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes on a 24-hour training course with a rogue detective who isn't what he appears.",2001,7.7,122,316040,930.0
U-571,Action|War,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,2000,6.6,116,66965,3236.0
American Psycho,Crime|Drama,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",2000,7.6,102,371133,515.0
Spider-Man,Action|Adventure,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",2002,7.3,121,561251,437.0
Lara Croft: Tomb Raider,Action|Adventure|Fantasy,Video game adventuress Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,2001,5.7,100,161278,2068.0
High Fidelity,Comedy|Drama|Music,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",2000,7.5,113,146486,2450.0
The Flintstones in Viva Rock Vegas,Comedy|Family|Romance,"In this live-action prequel to the 1994 comedy hit, the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma is pursued by playboy Chip Rockefeller.",2000,3.6,90,16035,2495.0
Cold Mountain,Adventure|Drama|Historyy,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",2003,7.2,154,120878,779.0
Charlie's Angels,Action|Adventure|Comedy,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",2000,5.5,98,148354,2293.0
Nowhere in Africa,Biography|Drama,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,2001,7.7,141,10887,
Cast Away,Adventure|Drama|Romance,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,2000,7.7,143,409544,690.0
Ghost World,Comedy|Drama,"With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",2001,7.4,111,98471,2232.0
Jurassic Park III,Action|Adventure|Sci-Fi,"A decidedly odd couple with ulterior motives convince Dr. Alan Grant to go to Isla Sorna (the second InGen dinosaur lab.), resulting in an unexpected landing...and unexpected new inhabitants on the island.",2001,5.9,92,227486,2041.0
The Beach,Adventure|Drama|Romance,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",2000,6.6,119,182324,1240.0
Hollow Man,Action|Horror|Sci-Fi,"Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.",2000,5.7,112,104404,2149.0
The Sum of All Fears,Action|Drama|Thriller,CIA analyst Jack Ryan must stop the plans of a Neo Nazis faction that threatens to induce a catastrophic conflict between the United States and Russia's newly elected president by detonating a nuclear weapon at a football game in Baltimore.,2002,6.4,124,88382,1974.0
Along Came a Spider,Crime|Drama|Thriller,"When a congressman's daughter under Secret Service protection is kidnapped from a private school, detective Alex Cross investigates the case even though he's recovering from the loss of his partner.",2001,6.3,104,60579,1872.0
Romeo Must Die,Action|Crime|Thriller,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,2000,6.1,115,58111,2339.0
Spirit: Stallion of the Cimarron,Animation|Adventure|Family,"A wild stallion is captured by humans and slowly loses the will to resist training. Yet throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",2002,7.1,83,46943,3222.0
Mulholland Drive,Drama|Mystery|Thriller,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",2001,8.0,147,247207,564.0
Hellboy,Action|Fantasy|Horror,"A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",2004,6.8,122,250754,1092.0
The Lord of the Rings: The Return of the King,Adventure|Drama|Fantasy,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003,8.9,201,1264277,327.0
